,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,15.1947,0.00019999961008995606,0.01,4,,,,,,,,,
1,13.7366,0.00019999844036286483,0.01,8,,,,,,,,,
2,12.8662,0.0001999964908278481,0.02,12,,,,,,,,,
3,12.3309,0.00019999376150010866,0.02,16,,,,,,,,,
4,11.8749,0.00019999025240093044,0.03,20,,,,,,,,,
5,11.1853,0.00019998596355767805,0.03,24,,,,,,,,,
6,10.3348,0.00019998089500379676,0.04,28,,,,,,,,,
7,9.0923,0.00019997504677881224,0.04,32,,,,,,,,,
8,8.2486,0.00019996841892833,0.05,36,,,,,,,,,
9,7.5264,0.00019996101150403543,0.05,40,,,,,,,,,
10,7.1124,0.0001999528245636931,0.06,44,,,,,,,,,
11,6.7609,0.00019994385817114646,0.06,48,,,,,,,,,
12,6.5765,0.0001999341123963171,0.07,52,,,,,,,,,
13,6.3685,0.00019992358731520468,0.07,56,,,,,,,,,
14,6.225,0.00019991228300988585,0.08,60,,,,,,,,,
15,6.1192,0.00019990019956851382,0.09,64,,,,,,,,,
16,6.0553,0.0001998873370853177,0.09,68,,,,,,,,,
17,5.9488,0.00019987369566060176,0.1,72,,,,,,,,,
18,5.9332,0.00019985927540074454,0.1,76,,,,,,,,,
19,5.8628,0.00019984407641819812,0.11,80,,,,,,,,,
20,5.8156,0.00019982809883148722,0.11,84,,,,,,,,,
21,5.7846,0.00019981134276520827,0.12,88,,,,,,,,,
22,5.7633,0.00019979380835002846,0.12,92,,,,,,,,,
23,5.7439,0.00019977549572268468,0.13,96,,,,,,,,,
24,5.7027,0.00019975640502598244,0.13,100,,,,,,,,,
25,5.6819,0.00019973653640879485,0.14,104,,,,,,,,,
26,5.6531,0.0001997158900260614,0.14,108,,,,,,,,,
27,5.6495,0.00019969446603878673,0.15,112,,,,,,,,,
28,5.626,0.00019967226461403933,0.15,116,,,,,,,,,
29,5.6222,0.00019964928592495045,0.16,120,,,,,,,,,
30,5.5918,0.0001996255301507125,0.17,124,,,,,,,,,
31,5.6243,0.00019960099747657774,0.17,128,,,,,,,,,
32,5.5899,0.00019957568809385694,0.18,132,,,,,,,,,
33,5.5785,0.0001995496021999177,0.18,136,,,,,,,,,
34,5.5638,0.0001995227399981831,0.19,140,,,,,,,,,
35,5.5513,0.00019949510169813003,0.19,144,,,,,,,,,
36,5.5567,0.00019946668751528744,0.2,148,,,,,,,,,
37,5.5484,0.0001994374976712348,0.2,152,,,,,,,,,
38,5.5435,0.00019940753239360047,0.21,156,,,,,,,,,
39,5.5345,0.00019937679191605963,0.21,160,,,,,,,,,
40,5.5337,0.00019934527647833276,0.22,164,,,,,,,,,
41,5.5347,0.00019931298632618356,0.22,168,,,,,,,,,
42,5.5241,0.00019927992171141708,0.23,172,,,,,,,,,
43,5.5224,0.00019924608289187786,0.23,176,,,,,,,,,
44,5.5158,0.0001992114701314478,0.24,180,,,,,,,,,
45,5.5119,0.00019917608370004417,0.25,184,,,,,,,,,
46,5.5083,0.00019913992387361745,0.25,188,,,,,,,,,
47,5.4987,0.0001991029909341493,0.26,192,,,,,,,,,
48,5.4973,0.00019906528516965008,0.26,196,,,,,,,,,
49,5.4906,0.00019902680687415705,0.27,200,,,,,,,,,
50,5.4947,0.00019898755634773158,0.27,204,,,,,,,,,
51,5.4947,0.00019894753389645723,0.28,208,,,,,,,,,
52,5.4795,0.00019890673983243706,0.28,212,,,,,,,,,
53,5.4835,0.0001988651744737914,0.29,216,,,,,,,,,
54,5.4944,0.0001988228381446553,0.29,220,,,,,,,,,
55,5.4806,0.0001987797311751759,0.3,224,,,,,,,,,
56,5.4766,0.00019873585390151003,0.3,228,,,,,,,,,
57,5.4801,0.00019869120666582153,0.31,232,,,,,,,,,
58,5.4726,0.00019864578981627844,0.31,236,,,,,,,,,
59,5.4681,0.0001985996037070505,0.32,240,,,,,,,,,
60,5.4684,0.00019855264869830629,0.33,244,,,,,,,,,
61,5.4657,0.00019850492515621038,0.33,248,,,,,,,,,
62,5.4671,0.00019845643345292054,0.34,252,,,,,,,,,
63,5.4585,0.00019840717396658484,0.34,256,,,,,,,,,
64,5.4631,0.00019835714708133862,0.35,260,,,,,,,,,
65,5.4675,0.00019830635318730154,0.35,264,,,,,,,,,
66,5.4561,0.00019825479268057467,0.36,268,,,,,,,,,
67,5.4628,0.0001982024659632372,0.36,272,,,,,,,,,
68,5.4658,0.0001981493734433433,0.37,276,,,,,,,,,
69,5.4622,0.00019809551553491916,0.37,280,,,,,,,,,
70,5.4539,0.0001980408926579596,0.38,284,,,,,,,,,
71,5.4556,0.0001979855052384247,0.38,288,,,,,,,,,
72,5.4537,0.00019792935370823675,0.39,292,,,,,,,,,
73,5.4505,0.00019787243850527664,0.39,296,,,,,,,,,
74,5.4465,0.00019781476007338058,0.4,300,,,,,,,,,
75,5.4496,0.00019775631886233654,0.41,304,,,,,,,,,
76,5.4509,0.00019769711532788083,0.41,308,,,,,,,,,
77,5.4508,0.00019763714993169452,0.42,312,,,,,,,,,
78,5.4392,0.00019757642314139977,0.42,316,,,,,,,,,
79,5.4415,0.00019751493543055632,0.43,320,,,,,,,,,
80,5.4452,0.00019745268727865774,0.43,324,,,,,,,,,
81,5.4386,0.0001973896791711275,0.44,328,,,,,,,,,
82,5.4358,0.0001973259115993156,0.44,332,,,,,,,,,
83,5.4383,0.00019726138506049438,0.45,336,,,,,,,,,
84,5.4454,0.00019719610005785465,0.45,340,,,,,,,,,
85,5.4333,0.000197130057100502,0.46,344,,,,,,,,,
86,5.4351,0.00019706325670345275,0.46,348,,,,,,,,,
87,5.4413,0.00019699569938762973,0.47,352,,,,,,,,,
88,5.4375,0.00019692738567985853,0.47,356,,,,,,,,,
89,5.4443,0.0001968583161128631,0.48,360,,,,,,,,,
90,5.4362,0.00019678849122526187,0.49,364,,,,,,,,,
91,5.4348,0.0001967179115615633,0.49,368,,,,,,,,,
92,5.4312,0.00019664657767216176,0.5,372,,,,,,,,,
93,5.436,0.00019657449011333328,0.5,376,,,,,,,,,
94,5.4311,0.00019650164944723115,0.51,380,,,,,,,,,
95,5.4321,0.00019642805624188147,0.51,384,,,,,,,,,
96,5.429,0.00019635371107117888,0.52,388,,,,,,,,,
97,5.4317,0.00019627861451488189,0.52,392,,,,,,,,,
98,5.4298,0.0001962027671586086,0.53,396,,,,,,,,,
99,5.4286,0.0001961261695938319,0.53,400,,,,,,,,,
100,5.4307,0.00019604882241787498,0.54,404,,,,,,,,,
101,5.4254,0.00019597072623390668,0.54,408,,,,,,,,,
102,5.4228,0.0001958918816509367,0.55,412,,,,,,,,,
103,5.4284,0.00019581228928381098,0.55,416,,,,,,,,,
104,5.4261,0.00019573194975320673,0.56,420,,,,,,,,,
105,5.4201,0.0001956508636856278,0.57,424,,,,,,,,,
106,5.4289,0.00019556903171339963,0.57,428,,,,,,,,,
107,5.4227,0.00019548645447466431,0.58,432,,,,,,,,,
108,5.4222,0.0001954031326133758,0.58,436,,,,,,,,,
109,5.4279,0.0001953190667792947,0.59,440,,,,,,,,,
110,5.4215,0.00019523425762798329,0.59,444,,,,,,,,,
111,5.4168,0.00019514870582080032,0.6,448,,,,,,,,,
112,5.4237,0.00019506241202489602,0.6,452,,,,,,,,,
113,5.4191,0.00019497537691320668,0.61,456,,,,,,,,,
114,5.4147,0.00019488760116444966,0.61,460,,,,,,,,,
115,5.427,0.00019479908546311781,0.62,464,,,,,,,,,
116,5.4119,0.00019470983049947444,0.62,468,,,,,,,,,
117,5.4175,0.00019461983696954758,0.63,472,,,,,,,,,
118,5.4201,0.00019452910557512496,0.63,476,,,,,,,,,
119,5.4215,0.00019443763702374812,0.64,480,,,,,,,,,
120,5.4173,0.00019434543202870725,0.65,484,,,,,,,,,
121,5.4144,0.00019425249130903543,0.65,488,,,,,,,,,
122,5.4083,0.00019415881558950302,0.66,492,,,,,,,,,
123,5.4134,0.00019406440560061216,0.66,496,,,,,,,,,
124,5.4145,0.00019396926207859084,0.67,500,,,,,,,,,
125,5.4126,0.00019387338576538744,0.67,504,,,,,,,,,
126,5.411,0.0001937767774086646,0.68,508,,,,,,,,,
