,loss,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,44.2316,0.00019999961008995606,0.01,4,,,,,,,,,
1,39.9561,0.00019999844036286483,0.01,8,,,,,,,,,
2,35.7861,0.0001999964908278481,0.02,12,,,,,,,,,
3,31.3713,0.00019999376150010866,0.02,16,,,,,,,,,
4,28.1403,0.00019999025240093044,0.03,20,,,,,,,,,
5,24.522,0.00019998596355767805,0.03,24,,,,,,,,,
6,22.0784,0.00019998089500379676,0.04,28,,,,,,,,,
7,18.3576,0.00019997504677881224,0.04,32,,,,,,,,,
8,14.3005,0.00019996841892833,0.05,36,,,,,,,,,
9,9.488,0.00019996101150403543,0.05,40,,,,,,,,,
10,5.4521,0.0001999528245636931,0.06,44,,,,,,,,,
11,4.7979,0.00019994385817114646,0.06,48,,,,,,,,,
12,4.5672,0.0001999341123963171,0.07,52,,,,,,,,,
13,4.4185,0.00019992358731520468,0.07,56,,,,,,,,,
14,4.2476,0.00019991228300988585,0.08,60,,,,,,,,,
15,4.0369,0.00019990019956851382,0.09,64,,,,,,,,,
16,3.6898,0.0001998873370853177,0.09,68,,,,,,,,,
17,3.2864,0.00019987369566060176,0.1,72,,,,,,,,,
18,2.9744,0.00019985927540074454,0.1,76,,,,,,,,,
19,2.6022,0.00019984407641819812,0.11,80,,,,,,,,,
20,2.2996,0.00019982809883148722,0.11,84,,,,,,,,,
21,1.9596,0.00019981134276520827,0.12,88,,,,,,,,,
22,1.747,0.00019979380835002846,0.12,92,,,,,,,,,
23,1.5258,0.00019977549572268468,0.13,96,,,,,,,,,
24,1.3362,0.00019975640502598244,0.13,100,,,,,,,,,
25,1.1239,0.00019973653640879485,0.14,104,,,,,,,,,
26,0.98,0.0001997158900260614,0.14,108,,,,,,,,,
27,0.8887,0.00019969446603878673,0.15,112,,,,,,,,,
28,0.7716,0.00019967226461403933,0.15,116,,,,,,,,,
29,0.6752,0.00019964928592495045,0.16,120,,,,,,,,,
30,0.6389,0.0001996255301507125,0.17,124,,,,,,,,,
31,0.5571,0.00019960099747657774,0.17,128,,,,,,,,,
32,0.5271,0.00019957568809385694,0.18,132,,,,,,,,,
33,0.4648,0.0001995496021999177,0.18,136,,,,,,,,,
34,0.4128,0.0001995227399981831,0.19,140,,,,,,,,,
35,0.4139,0.00019949510169813003,0.19,144,,,,,,,,,
36,0.385,0.00019946668751528744,0.2,148,,,,,,,,,
37,0.3698,0.0001994374976712348,0.2,152,,,,,,,,,
38,0.3564,0.00019940753239360047,0.21,156,,,,,,,,,
39,0.2916,0.00019937679191605963,0.21,160,,,,,,,,,
40,0.3488,0.00019934527647833276,0.22,164,,,,,,,,,
41,0.2823,0.00019931298632618356,0.22,168,,,,,,,,,
42,0.2953,0.00019927992171141708,0.23,172,,,,,,,,,
43,0.2668,0.00019924608289187786,0.23,176,,,,,,,,,
44,0.2402,0.0001992114701314478,0.24,180,,,,,,,,,
45,0.258,0.00019917608370004417,0.25,184,,,,,,,,,
46,0.2272,0.00019913992387361745,0.25,188,,,,,,,,,
47,0.2281,0.0001991029909341493,0.26,192,,,,,,,,,
48,0.2201,0.00019906528516965008,0.26,196,,,,,,,,,
49,0.233,0.00019902680687415705,0.27,200,,,,,,,,,
50,0.2223,0.00019898755634773158,0.27,204,,,,,,,,,
51,0.2172,0.00019894753389645723,0.28,208,,,,,,,,,
52,0.206,0.00019890673983243706,0.28,212,,,,,,,,,
53,0.1877,0.0001988651744737914,0.29,216,,,,,,,,,
54,0.1964,0.0001988228381446553,0.29,220,,,,,,,,,
55,0.2024,0.0001987797311751759,0.3,224,,,,,,,,,
56,0.1847,0.00019873585390151003,0.3,228,,,,,,,,,
57,0.2047,0.00019869120666582153,0.31,232,,,,,,,,,
58,0.1924,0.00019864578981627844,0.31,236,,,,,,,,,
59,0.1734,0.0001985996037070505,0.32,240,,,,,,,,,
60,0.1673,0.00019855264869830629,0.33,244,,,,,,,,,
61,0.1962,0.00019850492515621038,0.33,248,,,,,,,,,
62,0.172,0.00019845643345292054,0.34,252,,,,,,,,,
63,0.1753,0.00019840717396658484,0.34,256,,,,,,,,,
64,0.1772,0.00019835714708133862,0.35,260,,,,,,,,,
65,0.178,0.00019830635318730154,0.35,264,,,,,,,,,
66,0.1767,0.00019825479268057467,0.36,268,,,,,,,,,
67,0.1709,0.0001982024659632372,0.36,272,,,,,,,,,
68,0.16,0.0001981493734433433,0.37,276,,,,,,,,,
69,0.1599,0.00019809551553491916,0.37,280,,,,,,,,,
70,0.1753,0.0001980408926579596,0.38,284,,,,,,,,,
71,0.1637,0.0001979855052384247,0.38,288,,,,,,,,,
72,0.1746,0.00019792935370823675,0.39,292,,,,,,,,,
73,0.1544,0.00019787243850527664,0.39,296,,,,,,,,,
74,0.1559,0.00019781476007338058,0.4,300,,,,,,,,,
75,0.1614,0.00019775631886233654,0.41,304,,,,,,,,,
76,0.1585,0.00019769711532788083,0.41,308,,,,,,,,,
77,0.1371,0.00019763714993169452,0.42,312,,,,,,,,,
78,0.1848,0.00019757642314139977,0.42,316,,,,,,,,,
79,0.1659,0.00019751493543055632,0.43,320,,,,,,,,,
80,0.1621,0.00019745268727865774,0.43,324,,,,,,,,,
81,0.1377,0.0001973896791711275,0.44,328,,,,,,,,,
82,0.1562,0.0001973259115993156,0.44,332,,,,,,,,,
83,0.1507,0.00019726138506049438,0.45,336,,,,,,,,,
84,0.1458,0.00019719610005785465,0.45,340,,,,,,,,,
85,0.1378,0.000197130057100502,0.46,344,,,,,,,,,
86,0.1532,0.00019706325670345275,0.46,348,,,,,,,,,
87,0.1393,0.00019699569938762973,0.47,352,,,,,,,,,
88,0.1337,0.00019692738567985853,0.47,356,,,,,,,,,
89,0.1256,0.0001968583161128631,0.48,360,,,,,,,,,
90,0.1328,0.00019678849122526187,0.49,364,,,,,,,,,
91,0.1342,0.0001967179115615633,0.49,368,,,,,,,,,
92,0.1404,0.00019664657767216176,0.5,372,,,,,,,,,
93,0.1276,0.00019657449011333328,0.5,376,,,,,,,,,
94,0.1371,0.00019650164944723115,0.51,380,,,,,,,,,
95,0.1395,0.00019642805624188147,0.51,384,,,,,,,,,
96,0.1411,0.00019635371107117888,0.52,388,,,,,,,,,
97,0.132,0.00019627861451488189,0.52,392,,,,,,,,,
98,0.1352,0.0001962027671586086,0.53,396,,,,,,,,,
99,0.1317,0.0001961261695938319,0.53,400,,,,,,,,,
100,0.1285,0.00019604882241787498,0.54,404,,,,,,,,,
101,0.1329,0.00019597072623390668,0.54,408,,,,,,,,,
102,0.1405,0.0001958918816509367,0.55,412,,,,,,,,,
103,0.1319,0.00019581228928381098,0.55,416,,,,,,,,,
104,0.1245,0.00019573194975320673,0.56,420,,,,,,,,,
105,0.1405,0.0001956508636856278,0.57,424,,,,,,,,,
106,0.1187,0.00019556903171339963,0.57,428,,,,,,,,,
107,0.1277,0.00019548645447466431,0.58,432,,,,,,,,,
108,0.1255,0.0001954031326133758,0.58,436,,,,,,,,,
109,0.1171,0.0001953190667792947,0.59,440,,,,,,,,,
110,0.1232,0.00019523425762798329,0.59,444,,,,,,,,,
111,0.1317,0.00019514870582080032,0.6,448,,,,,,,,,
112,0.1188,0.00019506241202489602,0.6,452,,,,,,,,,
